text,label
"Software developer required with experience in Python and Django. Apply through our official careers portal.",0
"We are looking for a frontend developer with React experience. Salary will be discussed during the interview.",0
"Internship opportunity for computer science students. No payment is required to apply.",0
"Join our engineering team as a backend developer. Candidates will go through a technical interview.",0
"Looking for a data analyst with Excel and SQL skills. Apply through the company careers page.",0
"Machine learning internship for final year students. Selection will be based on an online assessment.",0
"We are hiring a Java developer. Please submit your resume through our official recruitment portal.",0
"Remote software engineering position. Candidates must complete the standard interview process.",0
"Marketing associate required. Salary and benefits will be discussed with shortlisted candidates.",0
"Graduate trainee program for engineering students. Apply using the official company website.",0
"Frontend internship available for students with HTML CSS and JavaScript knowledge.",0
"We are hiring a cybersecurity analyst. Relevant certification and experience are preferred.",0
"Data science internship with mentorship and project-based learning. Selection follows an assessment.",0
"Full stack developer required. Candidates will participate in two rounds of interviews.",0
"Product design internship available. Portfolio submission is required.",0
"Software testing engineer required with knowledge of Selenium and automation testing.",0
"Congratulations! You have been selected for a job. Pay 2000 registration fee to confirm your position.",1
"Earn 50000 per month from home without any interview. Contact us immediately.",1
"Limited vacancies! Pay a processing fee today to secure your guaranteed job.",1
"Send your OTP and bank details to complete your recruitment process.",1
"100% guaranteed placement! Pay a security deposit before joining.",1
"Urgent hiring! Act now or your job offer will expire within 2 hours.",1
"Congratulations, you are selected. Send your Aadhaar and PAN through WhatsApp immediately.",1
"No interview required. Earn 1 lakh per month by simply working from home.",1
"Pay a small registration fee and we will guarantee your job placement.",1
"Your offer is reserved for today only. Transfer the security deposit immediately.",1
"Work from home and earn 80000 per month. No experience or interview required.",1
"Send your bank account details and OTP to verify your employment.",1
"Limited seats available! Pay the training fee now to confirm your position.",1
"Recruitment offer expires today. Contact our recruiter only through Telegram.",1
"Guaranteed government job available. Pay processing charges to receive your appointment letter.",1
"You have been shortlisted. Send your credit card information for background verification.",1
"Earn huge income with zero interview. Contact us on WhatsApp and pay the registration amount.",1
"Immediate joining available. Pay a refundable security deposit before receiving your offer letter.",1
"Congratulations! Your job is guaranteed. Send your password and bank details for verification.",1
"Act now! Only five vacancies remain. Pay the application fee to secure your interview.",1
"Work from home opportunity with guaranteed salary of 2 lakh per month. No interview needed.",1
"Send OTP immediately to activate your employee account and receive your joining letter.",1
"Pay processing charges today or your selected position will be given to another candidate.",1
"Contact the recruiter only on Telegram and transfer the registration fee to continue.",1
